n_obs,sigma_true,replications,scenario_id,maturity_days,fraction_fixed,moneyness,mean_posterior_sigma,mean_posterior_sigma_sd,mean_pi_minus_pm,mean_abs_pi_minus_pm,median_abs_pi_minus_pm,p95_abs_pi_minus_pm,p99_abs_pi_minus_pm,max_abs_pi_minus_pm,mean_taylor_gap,taylor_mae,taylor_rmse,taylor_corr,taylor_slope_through_origin
126,0.1,5000,0,21,0.0,0.6,0.10004541064070593,0.00634530328978281,-8.400036222155904e-15,2.0163781755400124e-14,1.4210854715202004e-14,4.973799150320701e-14,6.394884621840902e-14,9.947598300641403e-14,0.0,2.0163781755400124e-14,2.5634940298943842e-14,,
126,0.1,5000,1,21,0.0,0.75,0.10004541064070593,0.00634530328978281,-3.9733549783704805e-15,1.064250909621478e-14,1.0658141036401503e-14,2.4868995751603507e-14,3.200995024599329e-14,4.618527782440651e-14,0.0,1.064250909621478e-14,1.33372108085376e-14,,
126,0.1,5000,2,21,0.0,0.9,0.10004541064070593,0.00634530328978281,4.205050613848016e-09,4.205050613848016e-09,1.0844338760307437e-09,1.8147157909709227e-08,4.473634881208001e-08,3.447042722370952e-07,1.6883728589581017e-09,2.516677917951873e-09,6.234469183710582e-09,0.9920166332812952,1.922628467212994
126,0.1,5000,3,21,0.0,1.0,0.10004541064070593,0.00634530328978281,-1.8464757307907753e-07,1.8464757307907753e-07,1.8282654712376e-07,2.4562607952027805e-07,2.7284403677718675e-07,3.568537814135908e-07,-1.8368561123054957e-07,9.619618485279569e-10,9.92917048426202e-10,0.9999933126842968,1.0052689609036614
126,0.1,5000,4,21,0.0,1.1,0.10004541064070593,0.00634530328978281,7.434643979894988e-08,7.434643979894988e-08,2.984649244130021e-08,2.977063919855812e-07,6.177764568476284e-07,3.1911337661058305e-06,4.134928250216271e-08,3.299715729678718e-08,5.9455675137513945e-08,0.9962482074418457,1.5520140543127288
126,0.1,5000,5,21,0.0,1.25,0.10004541064070593,0.00634530328978281,4.257428936346971e-22,4.257428936346971e-22,2.7423533052969744e-25,2.599678820563564e-22,2.6344268757915496e-21,6.453368058495206e-19,2.9951465215820787e-27,4.257398984881755e-22,1.1486968047728906e-20,0.9675087394914131,81388.18814484806
126,0.1,5000,6,21,0.0,1.5,0.10004541064070593,0.00634530328978281,2.0618000512021064e-41,2.0618000512021064e-41,1.796462976037934e-47,3.603256917281541e-43,1.1447680001362596e-41,5.486272272005512e-38,4.77397977653535e-76,2.0618000512021064e-41,8.780802906892007e-40,0.9180528824921648,2.5838248784259395e+34
126,0.1,5000,7,21,0.2727272727272727,0.6,0.10004541064070593,0.00634530328978281,-8.400036222155904e-15,2.0163781755400124e-14,1.4210854715202004e-14,4.973799150320701e-14,6.394884621840902e-14,9.947598300641403e-14,0.0,2.0163781755400124e-14,2.5634940298943842e-14,,
126,0.1,5000,8,21,0.2727272727272727,0.75,0.10004541064070593,0.00634530328978281,-3.9733549783704805e-15,1.064250909621478e-14,1.0658141036401503e-14,2.4868995751603507e-14,3.200995024599329e-14,4.618527782440651e-14,0.0,1.064250909621478e-14,1.33372108085376e-14,,
126,0.1,5000,9,21,0.2727272727272727,0.9,0.10004541064070593,0.00634530328978281,6.325180379462835e-14,6.687201903332607e-14,5.329070518200751e-15,2.078337502098293e-13,9.238476650352854e-13,2.9620750296999176e-11,4.1039323036659265e-15,1.0444007511260634e-13,5.868444892633045e-13,0.4951611994297659,2.391884433452676
126,0.1,5000,10,21,0.2727272727272727,1.0,0.10004541064070593,0.00634530328978281,-1.3705645008345035e-07,1.3705645008345035e-07,1.357049059791393e-07,1.8231813594948854e-07,2.0252125404907064e-07,2.6487794313467816e-07,-1.363424234832082e-07,7.140266002421366e-10,7.369770203577196e-10,0.9999933087535479,1.00526878355407
126,0.1,5000,11,21,0.2727272727272727,1.1,0.10004541064070593,0.00634530328978281,2.6131568686894356e-11,2.6131568686894356e-11,2.7930232133408852e-12,1.079678613769198e-10,3.5456018040961264e-10,5.404541400473661e-09,4.837075256656472e-12,2.1294493430237882e-11,9.995442186636349e-11,0.9844637198259202,3.31246472636215
126,0.1,5000,12,21,0.2727272727272727,1.25,0.10004541064070593,0.00634530328978281,6.1736220325553454e-30,6.1736220325553454e-30,1.6588106412181802e-34,7.266482940331299e-31,1.293303517106972e-29,1.3384261176061488e-26,9.273823570917699e-43,6.173622032554418e-30,2.2378468654998063e-28,0.9486735038293506,4099624785392.9775
126,0.1,5000,13,21,0.2727272727272727,1.5,0.10004541064070593,0.00634530328978281,1.5668082658887794e-51,1.5668082658887794e-51,1.9424237582853324e-58,8.902776416341621e-54,3.9086114889126946e-52,4.5124234248410424e-48,8.630264637908986e-119,1.5668082658887794e-51,7.087695275547736e-50,0.9072475828214314,1.0712377117772421e+67
126,0.1,5000,14,21,0.5,0.6,0.10004541064070593,0.00634530328978281,-8.400036222155904e-15,2.0163781755400124e-14,1.4210854715202004e-14,4.973799150320701e-14,6.394884621840902e-14,9.947598300641403e-14,0.0,2.0163781755400124e-14,2.5634940298943842e-14,,
126,0.1,5000,15,21,0.5,0.75,0.10004541064070593,0.00634530328978281,-3.9733549783704805e-15,1.064250909621478e-14,1.0658141036401503e-14,2.4868995751603507e-14,3.200995024599329e-14,4.618527782440651e-14,0.0,1.064250909621478e-14,1.33372108085376e-14,,
126,0.1,5000,16,21,0.5,0.9,0.10004541064070593,0.00634530328978281,-2.100009055538976e-15,5.040945438850031e-15,3.552713678800501e-15,1.2434497875801753e-14,1.5987211554602254e-14,2.4868995751603507e-14,0.0,5.040945438850031e-15,6.4087350747359605e-15,,
126,0.1,5000,17,21,0.5,1.0,0.10004541064070593,0.00634530328978281,-9.74277298040116e-08,9.74277298040116e-08,9.646695450782339e-08,1.2960255416083477e-07,1.4396371217972882e-07,1.882905738548324e-07,-9.692016980594814e-08,5.075599980634556e-10,5.238725930089202e-10,0.999993314626916,1.0052686775483768
126,0.1,5000,18,21,0.5,1.1,0.10004541064070593,0.00634530328978281,4.548290970980044e-17,4.548290970980044e-17,3.6593016432588434e-19,8.658511832334509e-17,5.350821292840443e-16,3.836146999142596e-14,2.4427201091909094e-19,4.523863769888135e-17,7.392242312303576e-16,0.9770913630345786,93.2134781911359
126,0.1,5000,19,21,0.5,1.25,0.10004541064070593,0.00634530328978281,1.4261467818626531e-40,1.4261467818626531e-40,1.6285116126290152e-46,2.906871355344273e-42,8.827716385726303e-41,3.747412482631331e-37,1.9667300426378545e-72,1.4261467818626531e-40,6.01513393837608e-39,0.9205038105732193,4.35583895520717e+31
126,0.1,5000,20,21,0.5,1.5,0.10004541064070593,0.00634530328978281,1.990931690176065e-63,1.990931690176065e-63,5.4212024199961276e-71,4.64685167395269e-66,2.6184886042687812e-64,6.031662085713365e-60,1.6331270765322397e-193,1.990931690176065e-63,9.356448962926002e-62,,
