n_obs,sigma_true,replications,scenario_id,maturity_days,fraction_fixed,moneyness,mean_posterior_sigma,mean_posterior_sigma_sd,mean_pi_minus_pm,mean_abs_pi_minus_pm,median_abs_pi_minus_pm,p95_abs_pi_minus_pm,p99_abs_pi_minus_pm,max_abs_pi_minus_pm,mean_taylor_gap,taylor_mae,taylor_rmse,taylor_corr,taylor_slope_through_origin
21,0.1,5000,0,21,0.0,0.6,0.09959801908901932,0.01594906190426896,-1.1560388202269678e-13,1.164139007414633e-13,1.1368683772161603e-13,2.1316282072803006e-13,2.5579538487363607e-13,4.050093593832571e-13,6.308215825407061e-16,1.1835133794603302e-13,1.3529556567129809e-13,-0.010872448455401373,-0.07320877176762114
21,0.1,5000,1,21,0.0,0.75,0.09959801908901932,0.01594906190426896,2.3165540596892244e-13,3.029754225281067e-13,5.3290705182007514e-14,8.064660050877137e-13,4.087219451776071e-12,1.4840040307717572e-10,0.0,3.029754225281067e-13,3.0384546441175028e-12,,
21,0.1,5000,2,21,0.0,0.9,0.09959801908901932,0.01594906190426896,3.8005719682100646e-06,3.8005719682100646e-06,6.11915575099431e-07,1.7439661890161786e-05,4.668427512914535e-05,0.00034149466503130554,4.3557618197614947e-07,3.364995786233915e-06,9.329319995132578e-06,0.9131806980034596,2.998907009754327
21,0.1,5000,3,21,0.0,1.0,0.09959801908901932,0.01594906190426896,-1.2761285616374796e-06,1.2761285616374796e-06,1.172488124201454e-06,2.3762806448335284e-06,2.998985438700255e-06,5.176644874982372e-06,-1.2223326118573085e-06,5.3795949780170986e-08,5.899612435659233e-08,0.9999999259724722,1.0439223581216062
21,0.1,5000,4,21,0.0,1.1,0.09959801908901932,0.01594906190426896,1.618830316830463e-05,1.618830316830463e-05,3.4803942363967435e-06,7.403298752560088e-05,0.00017651024491593088,0.0009625520926759345,3.5208005208518725e-06,1.2667502647452758e-05,2.740889684442065e-05,0.942738642742467,2.181731676567643
21,0.1,5000,5,21,0.0,1.25,0.09959801908901932,0.01594906190426896,9.56005593035717e-11,9.56005593035717e-11,3.4335321754236803e-12,3.3023865357931326e-10,1.4132395094102625e-09,3.716888613947833e-08,2.1781731097402287e-17,9.560053752184061e-11,8.12096024951733e-10,0.7565879943915726,522608.9943448365
21,0.1,5000,6,21,0.0,1.5,0.09959801908901932,0.01594906190426896,1.6451335122594398e-15,1.6451335122594398e-15,3.056107360192905e-17,4.428697918134225e-15,2.2540452866854853e-14,9.805569008446698e-13,8.243695530710695e-46,1.6451335122594398e-15,1.9459456991138003e-14,0.7157933701775966,2.3953120580060746e+29
21,0.1,5000,7,21,0.2727272727272727,0.6,0.09959801908901932,0.01594906190426896,-1.1560388202269678e-13,1.164139007414633e-13,1.1368683772161603e-13,2.1316282072803006e-13,2.5579538487363607e-13,4.050093593832571e-13,6.308215825407061e-16,1.1835133794603302e-13,1.3529556567129809e-13,-0.010872448455401373,-0.07320877176762114
21,0.1,5000,8,21,0.2727272727272727,0.75,0.09959801908901932,0.01594906190426896,-5.930047564106645e-14,5.960885118838633e-14,6.039613253960852e-14,1.0658141036401503e-13,1.3145040611561853e-13,1.7763568394002505e-13,0.0,5.960885118838633e-14,6.603564918842325e-14,,
21,0.1,5000,9,21,0.2727272727272727,0.9,0.09959801908901932,0.01594906190426896,3.278560088517679e-08,3.2785600894413844e-08,2.47745379766684e-09,1.3806044458775095e-07,4.7419145571936626e-07,6.950397517968554e-06,1.6618612537631055e-10,3.261941478694649e-08,1.7635820850482357e-07,0.837894540353119,31.50810211923836
21,0.1,5000,10,21,0.2727272727272727,1.0,0.09959801908901932,0.01594906190426896,-9.472185538806243e-07,9.472185538806243e-07,8.702904700230718e-07,1.763816343569591e-06,2.226024379298199e-06,3.842409769583277e-06,-9.072875482158781e-07,3.993100566474629e-08,4.379064040008664e-08,0.999999925062353,1.043922571439668
21,0.1,5000,11,21,0.2727272727272727,1.1,0.09959801908901932,0.01594906190426896,3.7579137340254114e-07,3.7579137340254114e-07,4.066195504899793e-08,1.671549487023569e-06,5.13873768021021e-06,5.533484244845744e-05,1.1859865611255114e-08,3.63931507791286e-07,1.464575114581864e-06,0.8722651870220497,6.875613613629362
21,0.1,5000,12,21,0.2727272727272727,1.25,0.09959801908901932,0.01594906190426896,5.904517785078392e-13,5.904517785078392e-13,1.4765810055092884e-14,1.7878025459784322e-12,8.457113991058204e-12,2.9392783287906906e-10,1.8738592184242354e-26,5.904517785078205e-13,6.0618126988395875e-12,0.7176254438592955,3532542914357.221
21,0.1,5000,13,21,0.2727272727272727,1.5,0.09959801908901932,0.01594906190426896,1.0250103700602014e-17,1.0250103700602014e-17,1.654560139454754e-19,2.5998296411952742e-17,1.3674858915259951e-16,6.609699850007262e-15,6.0889117703008465e-71,1.0250103700602014e-17,1.2910246155424185e-16,0.725324934290373,2.1714543169508704e+52
21,0.1,5000,14,21,0.5,0.6,0.09959801908901932,0.01594906190426896,-1.1560388202269678e-13,1.164139007414633e-13,1.1368683772161603e-13,2.1316282072803006e-13,2.5579538487363607e-13,4.050093593832571e-13,6.308215825407061e-16,1.1835133794603302e-13,1.3529556567129809e-13,-0.010872448455401373,-0.07320877176762114
21,0.1,5000,15,21,0.5,0.75,0.09959801908901932,0.01594906190426896,-5.940847813690198e-14,5.971401151327882e-14,6.039613253960852e-14,1.0658141036401503e-13,1.3145040611561853e-13,1.7763568394002505e-13,0.0,5.971401151327882e-14,6.614614789365178e-14,,
21,0.1,5000,16,21,0.5,0.9,0.09959801908901932,0.01594906190426896,3.545283959738299e-11,3.54563667315233e-11,1.2363443602225743e-12,1.2227827639321747e-10,5.243009582045528e-10,1.3859002834237799e-08,-5.365149238058835e-16,3.5457000004339984e-11,3.024814931355379e-10,-0.41430470385953877,-1971.8833508835673
21,0.1,5000,17,21,0.5,1.0,0.09959801908901932,0.01594906190426896,-6.733380626786633e-07,6.733380626786633e-07,6.186533250684967e-07,1.2538225968694583e-06,1.5823864027525463e-06,2.731403597300286e-06,-6.449533151699572e-07,2.8384747508706218e-08,3.112850466149582e-08,0.9999999254198282,1.0439219488413045
21,0.1,5000,18,21,0.5,1.1,0.09959801908901932,0.01594906190426896,2.2575957652523755e-09,2.2575957652523755e-09,1.2204724888128843e-10,8.805037582525403e-09,3.348023462280757e-08,6.409944192876125e-07,6.391445355291122e-13,2.256956620716846e-09,1.519398776469912e-08,0.8045188106979805,476.82265689214574
21,0.1,5000,19,21,0.5,1.25,0.09959801908901932,0.01594906190426896,1.4973085752568422e-15,1.4973085752568422e-15,2.840926978809041e-17,4.063985542837529e-15,2.0590166459038863e-14,8.81749618793542e-13,8.152077404115044e-44,1.4973085752568422e-15,1.7542139069913697e-14,0.7147442606908989,2.1840882059140505e+27
21,0.1,5000,20,21,0.5,1.5,0.09959801908901932,0.01594906190426896,3.8034680890182816e-20,3.8034680890182816e-20,5.566848188462178e-22,9.282502091031651e-20,4.969690513167924e-19,2.585389479441912e-17,4.974745682060818e-115,3.8034680890182816e-20,4.99795740706925e-19,0.7326790045337453,1.0394060321231705e+94
21,0.1,5000,21,21,0.7272727272727273,0.6,0.09959801908901932,0.01594906190426896,-1.1560388202269678e-13,1.164139007414633e-13,1.1368683772161603e-13,2.1316282072803006e-13,2.5579538487363607e-13,4.050093593832571e-13,6.308215825407061e-16,1.1835133794603302e-13,1.3529556567129809e-13,-0.010872448455401373,-0.07320877176762114
21,0.1,5000,22,21,0.7272727272727273,0.75,0.09959801908901932,0.01594906190426896,-5.940847813690198e-14,5.971401151327882e-14,6.039613253960852e-14,1.0658141036401503e-13,1.3145040611561853e-13,1.7763568394002505e-13,0.0,5.971401151327882e-14,6.614614789365178e-14,,
21,0.1,5000,23,21,0.7272727272727273,0.9,0.09959801908901932,0.01594906190426896,-2.885442995648191e-14,2.906048734985234e-14,2.842170943040401e-14,5.3290705182007514e-14,6.394884621840902e-14,9.769962616701378e-14,1.5770539563517652e-16,2.9547688821937815e-14,3.3757770940609316e-14,-0.008021957098163257,-0.06847466836474865
21,0.1,5000,24,21,0.7272727272727273,1.0,0.09959801908901932,0.01594906190426896,-4.002093704257081e-07,4.002093704257081e-07,3.677067376001153e-07,7.452287280468317e-07,9.40514841492047e-07,1.6234460691322283e-06,-3.833385799944499e-07,1.6870790431258244e-08,1.8501531111898662e-08,0.9999999249129747,1.0439214724464894
21,0.1,5000,25,21,0.7272727272727273,1.1,0.09959801908901932,0.01594906190426896,2.9202719058359413e-13,2.9202719058359413e-13,7.392234317957892e-15,8.885371259274933e-13,4.1890589460856005e-12,1.4421347650509722e-10,2.1875449044545421e-26,2.9202719058357227e-13,2.979469955917073e-12,0.7184932288224098,1496853583758.2517
21,0.1,5000,26,21,0.7272727272727273,1.25,0.09959801908901932,0.01594906190426896,1.9066995171843176e-19,1.9066995171843176e-19,2.8885987799378646e-21,4.711995877014276e-19,2.51034560466297e-18,1.2723272974303327e-16,1.4890451761262295e-94,1.9066995171843176e-19,2.468458827854268e-18,0.730096933399332,1.7089279343119508e+74
21,0.1,5000,27,21,0.7272727272727273,1.5,0.09959801908901932,0.01594906190426896,1.4878751915119686e-23,1.4878751915119686e-23,2.0184478602585048e-25,3.5217201846291707e-23,1.9097547716606005e-22,1.0530532282200158e-20,2.789457120717752e-226,1.4878751915119686e-23,2.020040406437879e-22,,
21,0.1,5000,28,21,0.9090909090909091,0.6,0.09959801908901932,0.01594906190426896,-1.1560388202269678e-13,1.164139007414633e-13,1.1368683772161603e-13,2.1316282072803006e-13,2.5579538487363607e-13,4.050093593832571e-13,6.308215825407061e-16,1.1835133794603302e-13,1.3529556567129809e-13,-0.010872448455401373,-0.07320877176762114
21,0.1,5000,29,21,0.9090909090909091,0.75,0.09959801908901932,0.01594906190426896,-5.940847813690198e-14,5.971401151327882e-14,6.039613253960852e-14,1.0658141036401503e-13,1.3145040611561853e-13,1.7763568394002505e-13,0.0,5.971401151327882e-14,6.614614789365178e-14,,
21,0.1,5000,30,21,0.9090909090909091,0.9,0.09959801908901932,0.01594906190426896,-2.8900970505674195e-14,2.9103475185365825e-14,2.842170943040401e-14,5.3290705182007514e-14,6.394884621840902e-14,1.0125233984581428e-13,1.5770539563517652e-16,2.9587834486508256e-14,3.382389141782452e-14,-0.010872448455401373,-0.07320877176762114
21,0.1,5000,31,21,0.9090909090909091,1.0,0.09959801908901932,0.01594906190426896,-1.8793220559041452e-07,1.8793220559041452e-07,1.7266997442977328e-07,3.499455169642119e-07,4.416462293801997e-07,7.623259252187431e-07,-1.8001037976715836e-07,7.921825823256165e-09,8.687507682990252e-09,0.999999924018804,1.043918784751843
21,0.1,5000,32,21,0.9090909090909091,1.1,0.09959801908901932,0.01594906190426896,2.0351399448027218e-19,2.0351399448027218e-19,3.136337424115048e-21,5.060498467225731e-19,2.6892673258989464e-18,1.3456091574676307e-16,2.944348061412768e-87,2.0351399448027218e-19,2.6153335056821744e-18,0.728810794895291,9.140461973563123e+66
21,0.1,5000,33,21,0.9090909090909091,1.25,0.09959801908901932,0.01594906190426896,1.4969664823334097e-24,1.4969664823334097e-24,2.0095817212671314e-26,3.5268968786235936e-24,1.91674478373298e-23,1.0650450978349053e-21,1.014711633428734e-259,1.4969664823334097e-24,2.0410244729767435e-23,,
21,0.1,5000,34,21,0.9090909090909091,1.5,0.09959801908901932,0.01594906190426896,1.1974351681541912e-27,1.1974351681541912e-27,1.553112555603246e-29,2.776192847949259e-27,1.5208138252860645e-26,8.66513204616135e-25,0.0,1.1974351681541912e-27,1.655280759784836e-26,,
21,0.1,5000,35,21,0.9545454545454546,0.6,0.09959801908901932,0.01594906190426896,-1.1560388202269678e-13,1.164139007414633e-13,1.1368683772161603e-13,2.1316282072803006e-13,2.5579538487363607e-13,4.050093593832571e-13,6.308215825407061e-16,1.1835133794603302e-13,1.3529556567129809e-13,-0.010872448455401373,-0.07320877176762114
