n_obs,sigma_true,replications,posterior_sigma_mean_mean,posterior_sigma_mean_bias,posterior_sigma_sd_mean
21,0.1,5000,0.09959801908901932,-0.0004019809109806899,0.01594906190426896
21,0.2,5000,0.1958239422444736,-0.004176057755526402,0.03099821529355594
21,0.35,5000,0.34187623852462523,-0.008123761475374747,0.05378632955590385
21,0.5,5000,0.4873666867192549,-0.012633313280745073,0.07640556689347147
21,0.8,5000,0.7818918109298978,-0.018108189070102254,0.12200025487991434
42,0.1,5000,0.09984771069025797,-0.00015228930974203747,0.011110421307957238
42,0.2,5000,0.19804641738908468,-0.0019535826109153276,0.02191835306563992
42,0.35,5000,0.3448236327007661,-0.005176367299233875,0.0380319229536668
42,0.5,5000,0.49436537753594884,-0.005634622464051164,0.05442786328596761
42,0.8,5000,0.7917894824816479,-0.008210517518352112,0.0869615815504947
63,0.1,5000,0.09992276642392803,-7.723357607197778e-05,0.009021493516702448
63,0.2,5000,0.1991382136998353,-0.0008617863001647019,0.0179201006393675
63,0.35,5000,0.3476179728149989,-0.002382027185001079,0.031206820797823054
63,0.5,5000,0.4956677542172335,-0.004332245782766475,0.04444373479756788
63,0.8,5000,0.7923007697893861,-0.0076992302106139165,0.07092432890802686
126,0.1,5000,0.10004541064070593,4.5410640705928484e-05,0.00634530328978281
126,0.2,5000,0.19956024710785697,-0.0004397528921430416,0.012639257104628678
126,0.35,5000,0.3487479549627652,-0.0012520450372347502,0.02206338441426754
126,0.5,5000,0.4985300591970134,-0.0014699408029866246,0.031516202496875166
126,0.8,5000,0.7955615274677525,-0.004438472532247495,0.05024857111862897
252,0.1,5000,0.09979886049706573,-0.0002011395029342805,0.004460705134203849
252,0.2,5000,0.1999470000707385,-5.29999292614991e-05,0.008931511820728783
252,0.35,5000,0.34928340900484683,-0.0007165909951531435,0.01559499623283873
252,0.5,5000,0.4988464461419337,-0.001153553858066314,0.02226461943809196
252,0.8,5000,0.7980450545178926,-0.0019549454821073953,0.03559694696965161
504,0.1,5000,0.09998898777330191,-1.101222669809554e-05,0.0031547987142522146
504,0.2,5000,0.1998284114337362,-0.0001715885662638139,0.00630310330506544
504,0.35,5000,0.3498263055791212,-0.0001736944208787783,0.01103230086418196
504,0.5,5000,0.49960501474034125,-0.0003949852596587533,0.015753285619277323
504,0.8,5000,0.7987115083668828,-0.0012884916331172835,0.025175997153393786
1260,0.1,5000,0.0999644151780312,-3.558482196880375e-05,0.0019927183889220583
1260,0.2,5000,0.1999868136230551,-1.3186376944918088e-05,0.003986169613430373
1260,0.35,5000,0.3498395958611996,-0.00016040413880036297,0.006972627357838994
1260,0.5,5000,0.49970305780429825,-0.00029694219570175484,0.009959050436398616
1260,0.8,5000,0.799536407803681,-0.00046359219631908477,0.01593260770486592
