scenario_id,maturity_days,maturity_years,fraction_fixed,n_fixed,n_future,moneyness,strike
0,21,0.08333333333333333,0.0,0,22,0.6,60.0
1,21,0.08333333333333333,0.0,0,22,0.75,75.0
2,21,0.08333333333333333,0.0,0,22,0.9,90.0
3,21,0.08333333333333333,0.0,0,22,1.0,100.0
4,21,0.08333333333333333,0.0,0,22,1.1,110.00000000000001
5,21,0.08333333333333333,0.0,0,22,1.25,125.0
6,21,0.08333333333333333,0.0,0,22,1.5,150.0
7,21,0.08333333333333333,0.2727272727272727,6,16,0.6,60.0
8,21,0.08333333333333333,0.2727272727272727,6,16,0.75,75.0
9,21,0.08333333333333333,0.2727272727272727,6,16,0.9,90.0
10,21,0.08333333333333333,0.2727272727272727,6,16,1.0,100.0
11,21,0.08333333333333333,0.2727272727272727,6,16,1.1,110.00000000000001
12,21,0.08333333333333333,0.2727272727272727,6,16,1.25,125.0
13,21,0.08333333333333333,0.2727272727272727,6,16,1.5,150.0
14,21,0.08333333333333333,0.5,11,11,0.6,60.0
15,21,0.08333333333333333,0.5,11,11,0.75,75.0
16,21,0.08333333333333333,0.5,11,11,0.9,90.0
17,21,0.08333333333333333,0.5,11,11,1.0,100.0
18,21,0.08333333333333333,0.5,11,11,1.1,110.00000000000001
19,21,0.08333333333333333,0.5,11,11,1.25,125.0
20,21,0.08333333333333333,0.5,11,11,1.5,150.0
21,21,0.08333333333333333,0.7272727272727273,16,6,0.6,60.0
22,21,0.08333333333333333,0.7272727272727273,16,6,0.75,75.0
23,21,0.08333333333333333,0.7272727272727273,16,6,0.9,90.0
24,21,0.08333333333333333,0.7272727272727273,16,6,1.0,100.0
25,21,0.08333333333333333,0.7272727272727273,16,6,1.1,110.00000000000001
26,21,0.08333333333333333,0.7272727272727273,16,6,1.25,125.0
27,21,0.08333333333333333,0.7272727272727273,16,6,1.5,150.0
28,21,0.08333333333333333,0.9090909090909091,20,2,0.6,60.0
29,21,0.08333333333333333,0.9090909090909091,20,2,0.75,75.0
30,21,0.08333333333333333,0.9090909090909091,20,2,0.9,90.0
31,21,0.08333333333333333,0.9090909090909091,20,2,1.0,100.0
32,21,0.08333333333333333,0.9090909090909091,20,2,1.1,110.00000000000001
33,21,0.08333333333333333,0.9090909090909091,20,2,1.25,125.0
34,21,0.08333333333333333,0.9090909090909091,20,2,1.5,150.0
35,21,0.08333333333333333,0.9545454545454546,21,1,0.6,60.0
36,21,0.08333333333333333,0.9545454545454546,21,1,0.75,75.0
37,21,0.08333333333333333,0.9545454545454546,21,1,0.9,90.0
38,21,0.08333333333333333,0.9545454545454546,21,1,1.0,100.0
39,21,0.08333333333333333,0.9545454545454546,21,1,1.1,110.00000000000001
40,21,0.08333333333333333,0.9545454545454546,21,1,1.25,125.0
41,21,0.08333333333333333,0.9545454545454546,21,1,1.5,150.0
42,63,0.25,0.0,0,22,0.6,60.0
