n_obs,sigma_true,replications,scenario_id,maturity_days,fraction_fixed,moneyness,mean_posterior_sigma,mean_posterior_sigma_sd,mean_pi_minus_pm,mean_abs_pi_minus_pm,median_abs_pi_minus_pm,p95_abs_pi_minus_pm,p99_abs_pi_minus_pm,max_abs_pi_minus_pm,mean_taylor_gap,taylor_mae,taylor_rmse,taylor_corr,taylor_slope_through_origin
21,0.8,5000,90,126,0.0,1.5,0.7818918109298978,0.12200025487991434,0.11763580063784863,0.11763580063784863,0.12082960524855424,0.12460580697389492,0.1270730579715583,0.13371287843539004,0.1250367896119223,0.007403718109420282,0.007486273886100486,0.9989111460112275,0.940521363099551
21,0.5,5000,132,252,0.0,1.5,0.4873666867192549,0.07640556689347147,0.11032472780195351,0.11032472780195351,0.11539468136498188,0.1232191057569944,0.1265858361882262,0.13836448229415188,0.11675939340324124,0.006449363296115973,0.006653225223432363,0.999919055873585,0.9439703214187892
21,0.8,5000,132,252,0.0,1.5,0.7818918109298978,0.12200025487991434,0.10178246170029684,0.10178641074841849,0.10572074802072606,0.12185356424280525,0.1257150850970515,0.1359632413965728,0.10983439736410344,0.008051935663806603,0.008055957690757655,0.9999283868725465,0.9283961595929427
21,0.8,5000,48,63,0.0,1.5,0.7818918109298978,0.12200025487991434,0.08722040563721563,0.08722040563721563,0.09053111081479337,0.11769030146948306,0.12239592903664415,0.12854215726707174,0.09091274259124953,0.0038748233756943223,0.004391043248065069,0.9999715463676966,0.9555793196374598
21,0.8,5000,139,252,0.2727272727272727,1.5,0.7818918109298978,0.12200025487991434,0.10837247225471379,0.10837247225471379,0.11171750343245868,0.11694711971407137,0.12022622675599269,0.12987880373137628,0.11636790741526219,0.007995988627640862,0.00803043213719182,0.9970491565380647,0.9316597526115968
21,0.8,5000,97,126,0.2727272727272727,1.5,0.7818918109298978,0.12200025487991434,0.09753300973530067,0.09753300973530067,0.10220119014150053,0.11612259580076523,0.11745586950715699,0.12234851185971918,0.10284487861662567,0.005356092318086491,0.0057158697091178505,0.999929229531166,0.9464053412927053
21,0.5,5000,139,252,0.2727272727272727,1.5,0.4873666867192549,0.07640556689347147,0.08195361679087383,0.08195361679087383,0.08534841794656214,0.11108878482420341,0.11472476040605711,0.11949392409953141,0.08549135885233736,0.0037558544830255253,0.004280454179644487,0.9999514526148502,0.9543351600835701
21,0.5,5000,90,126,0.0,1.5,0.4873666867192549,0.07640556689347147,0.06871523650968736,0.06871523650968736,0.07031667134587838,0.1058181628428913,0.11407983901328889,0.12180724018290867,0.07050138807396601,0.002448186083588344,0.0029818372680807735,0.9999237805628224,0.966751310090295
21,0.35,5000,132,252,0.0,1.5,0.34187623852462523,0.05378632955590385,0.06679322968145864,0.06679322968145864,0.06825145840821065,0.10410071397741663,0.11282823206267545,0.12136852520994035,0.0684415172422521,0.0023987094124103647,0.0029273833167960187,0.9999240095857227,0.9672356101670512
21,0.8,5000,146,252,0.5,1.5,0.7818918109298978,0.12200025487991434,0.09732448845186766,0.09732448845186766,0.10171426991358623,0.1064192025567498,0.10818691155557779,0.11173495597919048,0.1038170603321139,0.006505287911381547,0.006730089463494995,0.998615577187859,0.9364473925930807
21,0.8,5000,104,126,0.5,1.5,0.7818918109298978,0.12200025487991434,0.06197030983161933,0.06197030983161933,0.06333814379276369,0.0953213327282959,0.10327429442925921,0.10825364179707986,0.0636544425511168,0.002349433562123643,0.0029027568140089243,0.9998832329820314,0.9646739848921748
21,0.8,5000,55,63,0.2727272727272727,1.5,0.7818918109298978,0.12200025487991434,0.050899220806040965,0.050899220806040965,0.0503744697725704,0.08807609790014324,0.10144513050468353,0.11447846265939221,0.05114110192961705,0.0017020052447448495,0.0020737356632592376,0.9998288532730847,0.9808108935860259
21,0.8,5000,126,252,0.0,0.6,0.7818918109298978,0.12200025487991434,0.08595230101814268,0.08595230101814268,0.08830988621547675,0.09156105726443756,0.09343319238234522,0.10069592330312105,0.09212190972391975,0.0061708439418856256,0.006224356822077077,0.9943633157234675,0.9330494519682663
21,0.8,5000,84,126,0.0,0.6,0.7818918109298978,0.12200025487991434,0.07022629099760068,0.07022629099760068,0.07337690059163293,0.09008646458627893,0.09130677141548091,0.09566402648403738,0.07365386185037359,0.003517676692359329,0.003901214871066966,0.9999438259020823,0.9502798216869317
21,0.5,5000,146,252,0.5,1.5,0.4873666867192549,0.07640556689347147,0.0442668567451335,0.0442668567451335,0.043742403018414616,0.0794081346168961,0.0898610257048804,0.1015301112250111,0.04421177752886747,0.001579533139554994,0.0018969252389960526,0.9997418834164549,0.9842449273034696
