n_obs,bin_left,bin_right,count,expected_count
21,0.0,0.05,2479,2499.95
21,0.05,0.1,2460,2499.95
21,0.1,0.15000000000000002,2470,2499.95
21,0.15000000000000002,0.2,2425,2499.95
21,0.2,0.25,2519,2499.95
21,0.25,0.30000000000000004,2451,2499.95
21,0.30000000000000004,0.35000000000000003,2464,2499.95
21,0.35000000000000003,0.4,2527,2499.95
21,0.4,0.45,2419,2499.95
21,0.45,0.5,2537,2499.95
21,0.5,0.55,2571,2499.95
21,0.55,0.6000000000000001,2511,2499.95
21,0.6000000000000001,0.65,2521,2499.95
21,0.65,0.7000000000000001,2490,2499.95
21,0.7000000000000001,0.75,2547,2499.95
21,0.75,0.8,2560,2499.95
21,0.8,0.8500000000000001,2583,2499.95
21,0.8500000000000001,0.9,2445,2499.95
21,0.9,0.9500000000000001,2447,2499.95
21,0.9500000000000001,1.0,2573,2499.95
63,0.0,0.05,2409,2499.75
63,0.05,0.1,2407,2499.75
63,0.1,0.15000000000000002,2533,2499.75
63,0.15000000000000002,0.2,2529,2499.75
63,0.2,0.25,2553,2499.75
63,0.25,0.30000000000000004,2407,2499.75
63,0.30000000000000004,0.35000000000000003,2461,2499.75
63,0.35000000000000003,0.4,2449,2499.75
63,0.4,0.45,2495,2499.75
63,0.45,0.5,2457,2499.75
63,0.5,0.55,2459,2499.75
63,0.55,0.6000000000000001,2500,2499.75
63,0.6000000000000001,0.65,2473,2499.75
63,0.65,0.7000000000000001,2576,2499.75
63,0.7000000000000001,0.75,2557,2499.75
63,0.75,0.8,2491,2499.75
63,0.8,0.8500000000000001,2592,2499.75
63,0.8500000000000001,0.9,2599,2499.75
63,0.9,0.9500000000000001,2545,2499.75
63,0.9500000000000001,1.0,2503,2499.75
252,0.0,0.05,2391,2499.8
252,0.05,0.1,2402,2499.8
252,0.1,0.15000000000000002,2506,2499.8
252,0.15000000000000002,0.2,2406,2499.8
252,0.2,0.25,2390,2499.8
252,0.25,0.30000000000000004,2533,2499.8
252,0.30000000000000004,0.35000000000000003,2441,2499.8
252,0.35000000000000003,0.4,2509,2499.8
252,0.4,0.45,2428,2499.8
252,0.45,0.5,2515,2499.8
252,0.5,0.55,2571,2499.8
252,0.55,0.6000000000000001,2378,2499.8
252,0.6000000000000001,0.65,2548,2499.8
252,0.65,0.7000000000000001,2564,2499.8
252,0.7000000000000001,0.75,2530,2499.8
252,0.75,0.8,2518,2499.8
252,0.8,0.8500000000000001,2585,2499.8
252,0.8500000000000001,0.9,2550,2499.8
252,0.9,0.9500000000000001,2557,2499.8
252,0.9500000000000001,1.0,2674,2499.8
1260,0.0,0.05,2080,2499.9
1260,0.05,0.1,2225,2499.9
1260,0.1,0.15000000000000002,2296,2499.9
1260,0.15000000000000002,0.2,2251,2499.9
1260,0.2,0.25,2382,2499.9
1260,0.25,0.30000000000000004,2364,2499.9
1260,0.30000000000000004,0.35000000000000003,2421,2499.9
1260,0.35000000000000003,0.4,2502,2499.9
1260,0.4,0.45,2451,2499.9
1260,0.45,0.5,2536,2499.9
1260,0.5,0.55,2430,2499.9
1260,0.55,0.6000000000000001,2552,2499.9
1260,0.6000000000000001,0.65,2503,2499.9
1260,0.65,0.7000000000000001,2565,2499.9
1260,0.7000000000000001,0.75,2555,2499.9
1260,0.75,0.8,2695,2499.9
1260,0.8,0.8500000000000001,2768,2499.9
1260,0.8500000000000001,0.9,2669,2499.9
1260,0.9,0.9500000000000001,2799,2499.9
1260,0.9500000000000001,1.0,2954,2499.9
