experiment,sample,bootstrap_iterations,n,clusters,delta_mae,delta_mae_ci025,delta_mae_ci975,probability_mae_improvement,delta_rmse,delta_rmse_ci025,delta_rmse_ci975,probability_rmse_improvement
leave_one_contract_out,all,100000,399,11,-0.18924966502423204,-0.30528328886122874,-0.10736468048298138,1.0,-0.27251439241934555,-0.43810913626245296,-0.13939639651131397,1.0
leave_one_contract_out,positive_volume,100000,9,6,0.08228358685302084,0.0154312905349413,0.18629694861435628,0.00497,0.09626917024590295,0.04476260388674355,0.20787827707197043,3e-05
leave_one_contract_out,open_interest_ge_1,100000,399,11,-0.18924966502423204,-0.3062006351702128,-0.10685997435805987,1.0,-0.27251439241934555,-0.4387001884818748,-0.138799032611103,1.0
leave_one_contract_out,open_interest_ge_10,100000,284,11,-0.19050121392257705,-0.3003357876986968,-0.11124977728181973,1.0,-0.269486934762733,-0.42422863584741394,-0.1420070087137882,1.0
leave_one_contract_out,open_interest_ge_100,100000,110,11,-0.12327278755148505,-0.23461058449998964,-0.04054679794519595,0.99978,-0.21612008549231135,-0.3729141006099622,-0.08504497225641224,1.0
leave_one_contract_out,open_interest_ge_500,100000,41,11,-0.07749520913265537,-0.18707109708374556,0.00662013864026107,0.96142,-0.1725809329099495,-0.33451381213737497,-0.045194628107161926,0.99986
cross_option_type_transfer,all,100000,399,11,-0.08077983294507884,-0.1987710422410885,0.013822068655556297,0.9482,-0.14012646842146098,-0.3091370598687765,0.006296944837732302,0.96566
cross_option_type_transfer,positive_volume,100000,9,6,0.22027966807986782,0.09253637966087239,0.4403978849109615,0.00032,0.2696474249363262,0.1498637614580181,0.490117691745799,0.0
cross_option_type_transfer,open_interest_ge_1,100000,399,11,-0.08077983294507884,-0.1987442995038803,0.014323963372673217,0.94752,-0.14012646842146098,-0.3093688635302544,0.006754414080762772,0.96485
cross_option_type_transfer,open_interest_ge_10,100000,284,11,-0.08478548295982591,-0.19778147955029057,0.005719635887033336,0.965,-0.14145052407335895,-0.30197303575672396,-0.000999544139264995,0.97624
cross_option_type_transfer,open_interest_ge_100,100000,110,11,0.0015952784146085475,-0.11630920284855165,0.10490275125444176,0.46713,-0.06640739421246017,-0.23495614987664015,0.08765841665403763,0.73135
cross_option_type_transfer,open_interest_ge_500,100000,41,11,0.06117328249644782,-0.0634527346947632,0.18180210679111755,0.15858,-0.0008322263784286132,-0.18069455867655024,0.1595526422893555,0.46896
forward_q_expanding_smile,all,100000,345,10,-0.22863645572768806,-0.2736631868671399,-0.18179189316146607,1.0,-0.2303869085198405,-0.28492689546596406,-0.2037556201875367,1.0
forward_q_expanding_smile,positive_volume,100000,8,6,-0.033864567295147224,-0.0628292999784878,0.01648895390991792,0.92595,-0.029934786646533845,-0.06499708241600838,0.02622230321895639,0.92514
forward_q_expanding_smile,open_interest_ge_1,100000,345,10,-0.22863645572768806,-0.2737584278712543,-0.1820623588221286,1.0,-0.2303869085198405,-0.2847882889238987,-0.20380613560329483,1.0
forward_q_expanding_smile,open_interest_ge_10,100000,246,10,-0.22835402544428157,-0.2709504516570223,-0.18271240406194658,1.0,-0.2275670586835482,-0.28145915261979537,-0.20114608637899598,1.0
forward_q_expanding_smile,open_interest_ge_100,100000,96,10,-0.2036622967416858,-0.2372388827891557,-0.16410539866414953,1.0,-0.21219652234240538,-0.2552634422323321,-0.1907533787173648,1.0
forward_q_expanding_smile,open_interest_ge_500,100000,36,10,-0.1672863081138334,-0.21087379233365047,-0.11861399094279837,1.0,-0.19596953144508897,-0.24108052451046674,-0.16979624214667294,1.0
forward_q_previous_day_smile,all,100000,345,10,-0.22709898034639076,-0.277183943146664,-0.1817726465576937,1.0,-0.2503750697535154,-0.29885769443158144,-0.21845029777009525,1.0
forward_q_previous_day_smile,positive_volume,100000,8,6,-0.02955197496836494,-0.06234427274917477,0.021353981053596788,0.89289,-0.030711395676693953,-0.0570040243943646,0.030502459762530937,0.91464
forward_q_previous_day_smile,open_interest_ge_1,100000,345,10,-0.22709898034639076,-0.27704513787988305,-0.18178703826649278,1.0,-0.2503750697535154,-0.29890834214128564,-0.21831503638495897,1.0
forward_q_previous_day_smile,open_interest_ge_10,100000,246,10,-0.22693801816310583,-0.275232433143978,-0.18214483523541236,1.0,-0.24751566143324746,-0.2930313847583656,-0.21613190384084122,1.0
forward_q_previous_day_smile,open_interest_ge_100,100000,96,10,-0.20198160630745576,-0.24625122385471915,-0.1569752859187618,1.0,-0.2351726187114761,-0.2819863904642569,-0.19951592625676903,1.0
forward_q_previous_day_smile,open_interest_ge_500,100000,36,10,-0.159695666422485,-0.2073849993269004,-0.11345331709994957,1.0,-0.20954038635253092,-0.25444010712055914,-0.1742876484529272,1.0
