n_obs,history_years,prior,prior_alpha,prior_beta,prior_mean_sigma,prior_sd_sigma,sigma_mle,sigma_posterior_mean,sigma_posterior_sd,sigma_q025,sigma_q50,sigma_q975,sigma_rhat,mean_acceptance_rate,curran_posterior_integrated_price,curran_posterior_mean_plugin_price,curran_pi_minus_pm,abs_curran_pi_minus_pm
63,0.25,baseline,2.0,0.1,0.1,inf,0.5035372969002354,0.5040059313028197,0.04557345757908092,0.4261652401272694,0.49903943362961306,0.6063902715034861,0.9997984103957674,0.4393131043681227,1.2191839809872318,1.2044665989783807,0.014717382008851088,0.014717382008851088
63,0.25,wti_centered_broad,3.0,0.8,0.4,0.4,0.5035372969002354,0.5053157218480918,0.04474733412879408,0.4297381092918994,0.5005974917920786,0.603005673965291,1.0001576370318002,0.4414804934978326,1.2279429264881287,1.2137407307481507,0.014202195739978052,0.014202195739978052
63,0.25,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.5035372969002354,0.5009473162062502,0.041207985233317194,0.4287650175305666,0.49718946536906705,0.5889436968790858,0.9999739808615824,0.43864621540513504,1.1952404675864203,1.18290521436424,0.01233525322218032,0.01233525322218032
126,0.5,baseline,2.0,0.1,0.1,inf,0.6835013587168155,0.6830922910026147,0.04220089904506643,0.6058972821560784,0.6812659362354756,0.7731049532409161,1.0006230997354069,0.47649216405468486,2.6644021271978384,2.657975091727272,0.0064270354705664445,0.0064270354705664445
126,0.5,wti_centered_broad,3.0,0.8,0.4,0.4,0.6835013587168155,0.6824611117378963,0.04274589174057247,0.6038118315432087,0.6800461764126293,0.7742632072260591,0.9998095574139809,0.47649216405468486,2.6589436028224753,2.652330382732433,0.006613220090042393,0.006613220090042393
126,0.5,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.6835013587168155,0.6787426153843554,0.04302297701715778,0.5949298294737769,0.6751411685482174,0.765359924752648,1.0043970135464113,0.4676558852950984,2.625960633869986,2.619134658871709,0.0068259749982768625,0.0068259749982768625
252,1.0,baseline,2.0,0.1,0.1,inf,0.5459531062119849,0.5463445745476254,0.02373740376090699,0.5000751800925052,0.546008379538428,0.592878885122948,1.0014675449362032,0.4616538846282094,1.519678718217992,1.516214045023572,0.0034646731944201203,0.0034646731944201203
252,1.0,wti_centered_broad,3.0,0.8,0.4,0.4,0.5459531062119849,0.5457158484847414,0.023244570256283764,0.5049655241730301,0.5448377410788712,0.5954595348849794,1.0001023008285692,0.4739913304434812,1.5147256821345285,1.5114152442521178,0.0033104378824106995,0.0033104378824106995
252,1.0,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.5459531062119849,0.5435566850081477,0.02286522324710103,0.5017453197537861,0.5429045820890583,0.5902459317683046,0.9997929834760102,0.4731577192397466,1.498212961210313,1.4949662391683296,0.0032467220419833964,0.0032467220419833964
504,2.0,baseline,2.0,0.1,0.1,inf,0.4532746304732779,0.45335610947507426,0.014049768769793494,0.4276531857690582,0.4525544931592564,0.48206221653526526,1.0012185611284576,0.4711570523507836,0.8680211286731637,0.8662774517902407,0.0017436768829229843,0.0017436768829229843
504,2.0,wti_centered_broad,3.0,0.8,0.4,0.4,0.4532746304732779,0.4538227089814984,0.01502162353791809,0.4257945573238065,0.45356538131339896,0.4854865235973815,1.001400997642996,0.4653217739246415,0.8711908896713696,0.8691972580944851,0.0019936315768844803,0.0019936315768844803
504,2.0,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.4532746304732779,0.4544115180503,0.014173174079593722,0.4289057320815045,0.4543636039558307,0.48435762287079476,0.9998259903222912,0.456485495165055,0.874657197551087,0.8728891879912988,0.001768009559788175,0.001768009559788175
673,2.6706349206349205,baseline,2.0,0.1,0.1,inf,0.4148881983544413,0.41517636401911306,0.011355820247394698,0.39369874558791973,0.41489953756389003,0.43852046204680867,1.0010664711371224,0.4491497165721907,0.6423211509392043,0.6410088222911235,0.0013123286480807295,0.0013123286480807295
673,2.6706349206349205,wti_centered_broad,3.0,0.8,0.4,0.4,0.4148881983544413,0.41532941122812006,0.011451884860578649,0.39425109640301687,0.41462354353216707,0.4382961096318235,0.9998168240634527,0.4596532177392464,0.6431898313640396,0.6418547007949235,0.0013351305691161608,0.0013351305691161608
673,2.6706349206349205,wti_centered_moderate,10.0,3.6,0.4,0.1414213562373095,0.4148881983544413,0.4154370826355646,0.011603307117626695,0.3939638610343417,0.41486246897844287,0.43928560622762924,1.0000152612207749,0.45998666222074025,0.6438212147673148,0.6424497912223944,0.0013714235449203693,0.0013714235449203693
