sample,model,n,mean_error,mae,rmse
all,student_t_pi,402,-0.32418707886675097,0.32628378745997577,0.441835562700621
all,student_t_pm,402,-0.32794119810338107,0.32991365677320994,0.4449373131747236
all,gaussian_baseline_pi,402,-0.3433766192405557,0.344438065044747,0.46155078412072265
positive_volume,student_t_pi,9,-0.09593033564556369,0.11250739676297467,0.14131521093807553
positive_volume,student_t_pm,9,-0.09916976420447193,0.11522081688650715,0.14380259716147709
positive_volume,gaussian_baseline_pi,9,-0.11459059432890009,0.1248974445141324,0.15716422352011153
open_interest_ge_1,student_t_pi,402,-0.32418707886675097,0.32628378745997577,0.441835562700621
open_interest_ge_1,student_t_pm,402,-0.32794119810338107,0.32991365677320994,0.4449373131747236
open_interest_ge_1,gaussian_baseline_pi,402,-0.3433766192405557,0.344438065044747,0.46155078412072265
open_interest_ge_10,student_t_pi,286,-0.32519681022271746,0.3272661812492185,0.4383018180927384
open_interest_ge_10,student_t_pm,286,-0.32885803370654804,0.33080950573565965,0.44138186066427826
open_interest_ge_10,gaussian_baseline_pi,286,-0.3440282340964173,0.34506195159340236,0.45789379816559866
open_interest_ge_100,student_t_pi,112,-0.28927617596001626,0.2934880735372671,0.4109497731867929
open_interest_ge_100,student_t_pm,112,-0.29354908805651964,0.2975549328608201,0.4142632912370513
open_interest_ge_100,gaussian_baseline_pi,112,-0.3090575956838845,0.3113890040029041,0.42861006820699815
open_interest_ge_500,student_t_pi,42,-0.24310684940678187,0.2477680391622674,0.3716220162841774
open_interest_ge_500,student_t_pm,42,-0.24720196264163447,0.2515887312298938,0.37474875036608374
open_interest_ge_500,gaussian_baseline_pi,42,-0.2643542155219502,0.26656282627592853,0.3894479683797563
