n_obs,method,bias,mae,rmse,mean_acceptance_rate,coverage_95
63,full_bayes,-0.001118,0.354280,0.468592,0.524364,0.9500
63,postmean_plugin,-0.001182,0.354343,0.468682,0.524364,0.9500
63,map_plugin,-0.091910,0.378319,0.486737,0.524364,0.9500
63,mle_plugin,-0.040743,0.357640,0.470064,0.524364,0.9500
252,full_bayes,0.013933,0.198826,0.245403,0.394878,0.9625
252,postmean_plugin,0.013921,0.198828,0.245410,0.394878,0.9625
252,map_plugin,-0.021240,0.197437,0.244640,0.394878,0.9625
252,mle_plugin,0.003466,0.199217,0.244399,0.394878,0.9625
1260,full_bayes,-0.004781,0.101018,0.124261,0.222483,0.9250
1260,postmean_plugin,-0.004782,0.101015,0.124259,0.222483,0.9250
1260,map_plugin,-0.012768,0.106015,0.130195,0.222483,0.9250
1260,mle_plugin,-0.006741,0.101274,0.124338,0.222483,0.9250
